Time,Signal,Label
62.528,0.025889809,AORTICSCLEROCIS
62.532,0.021590494,AORTICSCLEROCIS
62.536,0.035921543,AORTICSCLEROCIS
62.54,0.076844649,AORTICSCLEROCIS
62.544,0.036717712,AORTICSCLEROCIS
62.548,-0.02952358,AORTICSCLEROCIS
62.552,0.005667106,AORTICSCLEROCIS
62.556,0.102322069,AORTICSCLEROCIS
62.56,0.104073642,AORTICSCLEROCIS
62.564,-0.257705725,AORTICSCLEROCIS
62.568,-0.289870968,AORTICSCLEROCIS
62.572,0.120952433,AORTICSCLEROCIS
62.576,0.508527688,AORTICSCLEROCIS
62.58,0.578909062,AORTICSCLEROCIS
62.584,0.222384412,AORTICSCLEROCIS
62.588,-0.115191406,AORTICSCLEROCIS
62.592,-0.487798677,AORTICSCLEROCIS
62.596,-0.728401064,AORTICSCLEROCIS
62.6,-0.480155451,AORTICSCLEROCIS
62.604,-0.011052451,AORTICSCLEROCIS
62.608,0.273816954,AORTICSCLEROCIS
62.612,0.274931591,AORTICSCLEROCIS
62.616,0.123340941,AORTICSCLEROCIS
62.62,0.035443841,AORTICSCLEROCIS
62.624,0.020157389,AORTICSCLEROCIS
62.628,0.146589087,AORTICSCLEROCIS
62.632,0.157416991,AORTICSCLEROCIS
62.636,-0.078726848,AORTICSCLEROCIS
62.64,-0.17490411,AORTICSCLEROCIS
62.644,-0.097357212,AORTICSCLEROCIS
62.648,-0.018377209,AORTICSCLEROCIS
62.652,0.075570778,AORTICSCLEROCIS
62.656,0.096111948,AORTICSCLEROCIS
62.66,0.038150817,AORTICSCLEROCIS
62.664,0.086876383,AORTICSCLEROCIS
62.668,0.13480578,AORTICSCLEROCIS
62.672,0.052959568,AORTICSCLEROCIS
62.676,-0.046083903,AORTICSCLEROCIS
62.68,-0.192419836,AORTICSCLEROCIS
62.684,-0.225062781,AORTICSCLEROCIS
62.688,-0.089554752,AORTICSCLEROCIS
62.692,0.017131945,AORTICSCLEROCIS
62.696,0.078277754,AORTICSCLEROCIS
62.7,0.015698841,AORTICSCLEROCIS
62.704,-0.072675961,AORTICSCLEROCIS
62.708,-0.056911807,AORTICSCLEROCIS
62.712,0.027641381,AORTICSCLEROCIS
62.716,0.10439211,AORTICSCLEROCIS
62.72,0.044360938,AORTICSCLEROCIS
62.724,0.038628519,AORTICSCLEROCIS
62.728,0.051367229,AORTICSCLEROCIS
62.732,0.013788034,AORTICSCLEROCIS
62.736,0.00296013,AORTICSCLEROCIS
62.74,-0.010256281,AORTICSCLEROCIS
62.744,-0.062166525,AORTICSCLEROCIS
62.748,-0.016625636,AORTICSCLEROCIS
62.752,0.100729731,AORTICSCLEROCIS
62.756,0.084806343,AORTICSCLEROCIS
62.76,-0.04592467,AORTICSCLEROCIS
62.764,-0.149267455,AORTICSCLEROCIS
62.768,-0.117739148,AORTICSCLEROCIS
62.772,-0.017262572,AORTICSCLEROCIS
62.776,0.030348357,AORTICSCLEROCIS
62.78,0.10439211,AORTICSCLEROCIS
62.784,0.102799771,AORTICSCLEROCIS
62.788,-0.039077613,AORTICSCLEROCIS
62.792,-0.094172534,AORTICSCLEROCIS
62.796,-0.029205113,AORTICSCLEROCIS
62.8,0.056781181,AORTICSCLEROCIS
62.804,0.112353804,AORTICSCLEROCIS
62.808,0.061876665,AORTICSCLEROCIS
62.812,-0.030638217,AORTICSCLEROCIS
62.816,-0.022358056,AORTICSCLEROCIS
62.82,-0.003886926,AORTICSCLEROCIS
